LabID,Clinic,Address,City,State,Zipcode,Latitude,Longitude
LabCorp001,LabCorp,"Labcorp, 121 River St, Hoboken, NJ 07030",Hoboken,NJ,7030,40.73816869879691,-74.02827528322184
LabCorp002,LabCorp,"Labcorp, 59 NEWARK ST, Lower Level, HOBOKEN, NJ 07030",Hoboken,NJ,7030,40.73648546566723,-74.03089295972408
LabCorp003,LabCorp,"Labcorp, 3131 Kennedy Blvd, Columbia Park, North Bergen, NJ 07047",North Bergen,NJ,7047,40.77505907121755,-74.03635875842308
LabCorp004,LabCorp,"Labcorp, 111 3rd Ave, Apt, New York, NY 10003",New York,NY,10003,40.732911767898514,-73.9872182083386
LabCorp005,LabCorp,"Labcorp, 65 Broadway, Ste 905, New York, NY 10006",New York,NY,10006,40.70720222587683,-74.01240079507372
LabCorp006,LabCorp,"Labcorp, 120 9th Ave, New York, NY 10011",New York,NY,10011,40.74312639906451,-74.00358589545364
LabCorp007,LabCorp,"Labcorp, 139 Centre St, Ste 807, New York, NY 10013",New York,NY,10013,40.71755050269526,-74.00081446014477
LabCorp008,LabCorp,"Labcorp, 425 W 59th St, Ste 1A, New York, NY 10019",New York,NY,10019,40.76997878755136,-73.98598445105175
LabCorp009,LabCorp,"Labcorp, 1317 3RD AVE, 3RD FLR, NEW YORK, NY 10021",New York,NY,10021,40.77188878307482,-73.95866155090997
LabCorp010,LabCorp,"Labcorp, 115 E 57th St, Ste 620, New York, NY 10022",New York,NY,10022,40.76152890506576,-73.96989595492472
LabCorp011,LabCorp,"Labcorp, 115 Central Park W, Apt 10, New York, NY 10023",New York,NY,10023,40.77607245264919,-73.97632318375815
LabCorp012,LabCorp,"Labcorp, 1090 Amsterdam Ave, Frnt, New York, NY 10025",New York,NY,10025,40.805492961445154,-73.9625009423637
LabCorp013,LabCorp,"Labcorp, 535 W 110th St, Apt 1J, New York, NY 10025",New York,NY,10025,40.80402714207571,-73.96556956256424
LabCorp014,LabCorp,"Labcorp, 5 E 98th St, #, New York, NY 10029",New York,NY,10029,40.78908588665206,-73.95386268006617
LabCorp015,LabCorp,"Labcorp, 177 E 87th St, New York, NY 10128",New York,NY,10128,40.77991484786872,-73.95361282686852
LabCorp016,LabCorp,"Labcorp, 70 E 90th St, # 2, New York, NY 10128",New York,NY,10128,40.78305623690899,-73.95677028191952
LabCorp017,LabCorp,"Labcorp, 1201 Main St, Peekskill, NY 10566",Peekskill,NY,10566,41.29161815262231,-73.91439446082865
LabCorp018,LabCorp,"Labcorp, 162 Wildey St, Tarrytown, NY 10591",Tarrytown,NY,10591,41.0790651168529,-73.86349970061676
LabCorp019,LabCorp,"Labcorp, 222 Route 59, Ste 202, Suffern, NY 10901",Suffern,NY,10901,41.11267659472053,-74.11178275765799
LabCorp020,LabCorp,"Labcorp, 3 Coates Dr, Goshen, NY 10924",Goshen,NY,10924,41.39075047632977,-74.3363487272666
LabCorp021,LabCorp,"Labcorp, 1219 Dolsontown Rd, Middletown, NY 10940",Middletown,NY,10940,41.424948695692976,-74.40936710687852
LabCorp022,LabCorp,"Labcorp, 36 College Avenue, LL, NANUET, NY 10954",Nanuet,NY,10954,41.094913438850135,-74.00762559775451
LabCorp023,LabCorp,"Labcorp, 31 Cavalry Dr, New City, NY 10956",New City,NY,10956,41.15484484708889,-73.98584377747082
LabCorp024,LabCorp,"Labcorp, 1540 Route 202, Ste 6, Pomona, NY 10970",Pomona,NY,10970,41.18264540505238,-74.05355589710882
LabCorp025,LabCorp,"Labcorp, 2 Liberty Square Mall, Stony Point, NY 10980",Stony Point,NY,10980,41.22172291770804,-73.98593406850631
LabCorp026,LabCorp,"Labcorp, 4701 Queens Blvd, Ste, Sunnyside, NY 11104",Sunnyside,NY,11104,40.74344880765645,-73.91737912661043
LabCorp027,LabCorp,"Labcorp, 25 Chapel St, Libby 1, Brooklyn, NY 11201",Brooklyn,NY,11201,40.697418456962026,-73.9860403838505
LabCorp028,LabCorp,"Labcorp, 7535 31st Ave, Ste 200, East Elmhurst, NY 11370",East Elmhurst,NY,11370,40.75963656925054,-73.89224768638611
LabCorp029,LabCorp,"Labcorp, 330 Washington Ave, Kingston, NY 12401",Kingston,NY,12401,41.93396484154679,-74.0242832630835
LabCorp030,LabCorp,"Labcorp, 367 BROADWAY, Suite 367B, KINGSTON, NY 12401",Kingston,NY,12401,41.92576404167812,-73.99458584025595
LabCorp031,LabCorp,"Labcorp, 200 Westage Business Ctr Dr, Ste 133, Fishkill, NY 12524",Fishkill,NY,12524,41.52734686621742,-73.89684563004191
LabCorp032,LabCorp,"Labcorp, 222 State Route 299, #, Highland, NY 12528",Highland,NY,12528,41.74319583271024,-73.99615460615324
LabCorp033,LabCorp,"Labcorp, 5 HUDSON VALLEY PROFESS PLAZA, NEWBURGH, NY 12550",Newburgh,NY,12550,41.52010815863651,-74.03161830905918
LabCorp034,LabCorp,"Labcorp, 448 Temple Hill Rd, New Windsor, NY 12553",New Windsor,NY,12553,41.47822266280807,-74.0624822861633
LabCorp035,LabCorp,"Labcorp, 279 MAIN ST STE 200, NEW PALTZ, NY 12561",New Paltz,NY,12561,41.74347217769102,-74.06811889870482
LabCorp036,LabCorp,"Labcorp, 6565 Spring Brook Ave, Rhinebeck, NY 12572",Rhinebeck,NY,12572,41.93743709705514,-73.90999092272762
LabCorp037,LabCorp,"Labcorp, 207 Washington St, Poughkeepsie, NY 12601",Poughkeepsie,NY,12601,41.715904763195454,-73.9289526437509
LabCorp038,LabCorp,"Labcorp, 27 Fox St, Poughkeepsie, NY 12601",Poughkeepsie,NY,12601,41.69159198906196,-73.934814298874
LabCorp039,LabCorp,"Labcorp, 827 Dutchess Tpke, Poughkeepsie, NY 12603",Poughkeepsie,NY,12603,41.70294659885791,-73.87171511639475
LabCorp040,LabCorp,"Labcorp, 2233 Wisconsin Ave NW, Ste 425, Washington DC 20007",Ste 425,Washington,20007,38.91994310095396,-77.07074432324457
LabCorp041,LabCorp,"Labcorp, 8640 Sudley Rd, Ste 113, Manassas, VA 20110",Manassas,VA,20110,38.7678917597773,-77.48929512460955
LabCorp042,LabCorp,"Labcorp, 8609 Sudley Rd, Ste 104, Manassas, VA 20110",Manassas,VA,20110,38.769767285978304,-77.4877139258609
LabCorp043,LabCorp,"Labcorp, 20321 Susan Leslie Dr, Ashburn, VA 20147",Ashburn,VA,20147,39.05411394788274,-77.48735293167717
LabCorp044,LabCorp,"Labcorp, 43490 Yukon Dr, Suite 112, Ashburn, VA 20147",Ashburn,VA,20147,39.00945193340721,-77.49362187028142
LabCorp045,LabCorp,"Labcorp, 21475 Ridgetop Cir, Ste 110, Sterling, VA 20166",Sterling,VA,20166,39.03196487517544,-77.40777406079711
LabCorp046,LabCorp,"Labcorp, 24430 Stone Springs Blvd #240, Sterling, VA 20166",Sterling,VA,20166,38.9403106510255,-77.54349584908726
LabCorp047,LabCorp,"Labcorp, 222 Catoctin Cir SE, Ste 100, Leesburg, VA 20175",Leesburg,VA,20175,39.10997604414098,-77.5565224217316
LabCorp048,LabCorp,"Labcorp, 5530 Wisconsin Ave, Ste 705, Chevy Chase, MD 20815",Chevy Chase,MD,20815,38.96498433373251,-77.0882033742934
LabCorp049,LabCorp,"Labcorp, 10215 Fernwood Rd, Ste 300, Bethesda, MD 20817",Bethesda,MD,20817,39.02408807674156,-77.13459026813011
LabCorp050,LabCorp,"Labcorp, 9711 Medical Center Dr, Ste 222, Rockville, MD 20850",Rockville,MD,20850,39.09981915478526,-77.19767828296432
LabCorp051,LabCorp,"Labcorp, 15005 Shady Grove Rd, Ste 130, Rockville, MD 20850",Rockville,MD,20850,39.10248824358892,-77.19026602473195
LabCorp052,LabCorp,"Labcorp, 15225 Shady Grove Rd, Ste 204, Rockville, MD 20850",Rockville,MD,20850,39.10686162146343,-77.1888485082745
LabCorp053,LabCorp,"Labcorp, 11119 Rockville Pike, Ste G101, Rockville, MD 20852",Rockville,MD,20852,39.03922505488297,-77.10830966754371
LabCorp054,LabCorp,"Labcorp, 814 W Diamond Ave, Ste 105, Gaithersburg, MD 20878",Gaithersburg,MD,20878,39.14334825657093,-77.21614896063677
LabCorp055,LabCorp,"Labcorp, 3028 Javier Rd, Ste 100, Fairfax, VA 22031",Fairfax,VA,22031,38.86665707556559,-77.2355920597271
LabCorp056,LabCorp,"Labcorp, 8503 Arlington Blvd, Ste 350, Fairfax, VA 22031",Fairfax,VA,22031,38.86485743329441,-77.23932029543496
LabCorp057,LabCorp,"Labcorp, 4001 Fair Ridge Dr, Ste 200, Fairfax, VA 22033",Fairfax,VA,22033,38.87086450470876,-77.36673941088111
LabCorp058,LabCorp,"Labcorp, 8130 Boone Blvd, Suite 320, Vienna, VA 22182",Vienna,VA,22182,38.91409385358487,-77.22645417989877
LabCorp059,LabCorp,"Labcorp, 1005 N Glebe Rd, Ste 140, Arlington, VA 22201",Arlington,VA,22201,38.88313560413031,-77.11558812786278
LabCorp060,LabCorp,"Labcorp, 2420 E Colonial Dr, Orlando, FL 32803",Orlando,FL,32803,28.552845026797964,-81.35131547644998
LabCorp061,LabCorp,"Labcorp, 4401 S Orange Ave, Ste 110, Orlando, FL 32806",Orlando,FL,32806,28.49628135484793,-81.3739688152851
LabCorp062,LabCorp,"Labcorp, 7300 Sandlake Commons Blvd, Ste 205, Orlando, FL 32819",Orlando,FL,32819,28.43040809458992,-81.4788948922305
LabCorp063,LabCorp,"Labcorp, 5425 S Semoran Blvd, Orlando, FL 32822",Orlando,FL,32822,28.483771949852333,-81.30940277199072
LabCorp064,LabCorp,"Labcorp, 10425 Narcoosee Rd, Orlando, FL 32832",Orlando,FL,32832,28.4151203409989,-81.24228106621922
LabCorp065,LabCorp,"Labcorp, 3990 Sheridan St, Hollywood, FL 33021",Hollywood,FL,33021,26.032609484056145,-80.18364810537037
LabCorp066,LabCorp,"Labcorp, 9005 Pines Blvd, Hollywood, FL 33024",Hollywood,FL,33024,26.00955805296972,-80.26435520352308
LabCorp067,LabCorp,"Labcorp, 8001 Miramar Pkwy, Hollywood, FL 33025",Hollywood,FL,33025,25.98247218877077,-80.24773497284043
LabCorp068,LabCorp,"Labcorp, 201 N Hiatus Rd, Hollywood, FL 33026",Hollywood,FL,33026,26.009912390625644,-80.29579028592279
LabCorp069,LabCorp,"Labcorp, 3000 N State Road 7, Margate, FL 33063",Margate,FL,33063,26.26698919706289,-80.20092186118765
LabCorp070,LabCorp,"Labcorp, 10350 Royal Palm Blvd, Coral Springs, FL 33065",Coral Springs,FL,33065,26.25865158070059,-80.26312361885871
LabCorp071,LabCorp,"Labcorp, 19935 NW 2nd Ave, Miami, FL 33169",Miami,FL,33169,25.95797211366396,-80.20272690393215
LabCorp072,LabCorp,"Labcorp, 2801 NE 213th St, Suite 1110, Aventura, FL 33180",Aventura,FL,33180,25.973213891161365,-80.14580098818229
LabCorp073,LabCorp,"Labcorp, 3465 Galt Ocean Dr, Suite 201, Fort Lauderdale, FL 33308",Fort Lauderdale,FL,33308,26.170038216379343,-80.0993914565451
LabCorp074,LabCorp,"Labcorp, 3099 N State Road 7, Lauderdale Lakes, FL 33313",Lauderdale Lakes,FL,33313,26.16451770902233,-80.2039344133174
LabCorp075,LabCorp,"Labcorp, 7431 N University Dr, Ste 209, Tamarac, FL 33321",Tamarac,FL,33321,26.213296413282244,-80.255596361189
LabCorp076,LabCorp,"Labcorp, 1780 N University Dr, Plantation, FL 33322",Plantation,FL,33322,26.14808415547921,-80.25628576119053
LabCorp077,LabCorp,"Labcorp, 181 N University Dr, Plantation, FL 33324",Plantation,FL,33324,26.123071169264858,-80.25450610352037
LabCorp078,LabCorp,"Labcorp, 13628 W State Road 84, Davie, FL 33325",Davie,FL,33325,26.117940310193493,-80.33076654584971
LabCorp079,LabCorp,"Labcorp, 2731 Executive Park Dr, Ste 5, Weston, FL 33331",Weston,FL,33331,26.08447612652671,-80.37420499002751
LabCorp080,LabCorp,"Labcorp, 830 E Oakland Park Blvd, Suite 121, Oakland Park, FL 33334",Oakland Park,FL,33334,26.16585003066078,-80.13616183174732
LabCorp081,LabCorp,"Labcorp, 900 Glades Rd, Ste 1B, Boca Raton, FL 33431",Boca Raton,FL,33431,26.364598544623604,-80.10500384769152
LabCorp082,LabCorp,"Labcorp, 7301 W Palmetto Park Rd Ste 101B, Boca Raton, FL 33433",Boca Raton,FL,33433,26.35116598533677,-80.15957779002107
LabCorp083,LabCorp,"Labcorp, 3003 W Yamato Rd, Boca Raton, FL 33434",Boca Raton,FL,33434,26.39615577213494,-80.14712403419695
LabCorp084,LabCorp,"Labcorp, 1005 S Federal Hwy, Deerfield Beach, FL 33441",Deerfield Beach,FL,33441,26.30471540932707,-80.09380037652835
LabCorp085,LabCorp,"Labcorp, 11928 Boyette Rd, Riverview, FL 33569",Riverview,FL,33569,27.854580855548644,-82.30079793991496
LabCorp086,LabCorp,"Labcorp, 3851 4th St N, Saint Petersburg, FL 33703",Saint Petersburg,FL,33703,27.807330748038247,-82.63735264566974
LabCorp087,LabCorp,"Labcorp, 3901 66th St N, Saint Petersburg, FL 33709",Saint Petersburg,FL,33709,27.807625328574755,-82.7282371297001
LabCorp088,LabCorp,"Labcorp, 900 49th St N, Saint Petersburg, FL 33710",Saint Petersburg,FL,33710,27.78144122595592,-82.70066396982944
LabCorp089,LabCorp,"Labcorp, 3077 54th Ave S, Saint Petersburg, FL 33712",Saint Petersburg,FL,33712,27.719792976436977,-82.67362113425088
LabCorp090,LabCorp,"Labcorp, 501 Havendale Blvd, Auburndale, FL 33823",Auburndale,FL,33823,28.054221569089712,-81.77574755604905
LabCorp091,LabCorp,"Labcorp, 108 Park Place Blvd, Davenport, FL 33837",Davenport,FL,33837,28.183827434986497,-81.64160396598926
LabCorp092,LabCorp,"Labcorp, 2209 North Blvd W, Ste B, Davenport, FL 33837",Davenport,FL,33837,28.163471233354308,-81.63831942966533
LabCorp093,LabCorp,"Labcorp, 24170 Hwy 27, Lake Wales, FL 33859",Lake Wales,FL,33859,27.957623060894296,-81.62311644159665
LabCorp094,LabCorp,"Labcorp, 805 Havendale Blvd NW, Winter Haven, FL 33881",Winter Haven,FL,33881,28.04460469852983,-81.73567622482265
LabCorp095,LabCorp,"Labcorp, 25097 E Olympia Ave, Ste 206, Punta Gorda, FL 33950",Punta Gorda,FL,33950,26.940199371598123,-82.03671919607913
LabCorp096,LabCorp,"Labcorp, 2811 Tamiami Tri, Ste F, Port Charlotte, FL 33952",Port Charlotte,FL,33952,26.9888661672816,-82.10960157863154
LabCorp097,LabCorp,"Labcorp, 6060 53rd Ave E, Unit C, Bradenton, FL 34203",Bradenton,FL,34203,27.44461170941314,-82.48375586915282
LabCorp098,LabCorp,"Labcorp, 4220 Manatee Ave W, Bradenton, FL 34205",Bradenton,FL,34205,27.49636886749302,-82.60335411720413
LabCorp099,LabCorp,"Labcorp, 2902 59th St W, Bradenton, FL 34209",Bradenton,FL,34209,27.47462721040944,-82.62110379508371
LabCorp100,LabCorp,"Labcorp, 930 8th Ave W, Palmetto, FL 34221",Palmetto,FL,34221,27.52061433261509,-82.57243311628136
LabCorp101,LabCorp,"Labcorp, 7915 US Highway 301 N, Ellenton, FL 34222",Ellenton,FL,34222,27.53896104812653,-82.4829987366642
LabCorp102,LabCorp,"Labcorp, 693 Old Englewood Rd, Ste C, Englewood, FL 34223",Englewood,FL,34223,26.974568545799183,-82.36735974275918
LabCorp103,LabCorp,"Labcorp, 5800 Bee Ridge Rd, Sarasota, FL 34233",Sarasota,FL,34233,27.29793239062641,-82.45528609249372
LabCorp104,LabCorp,"Labcorp, 1224 S Tamiami Tri, Sarasota, FL 34239",Sarasota,FL,34239,27.322500704202227,-82.5303334534458
LabCorp105,LabCorp,"Labcorp, 2449 Bee Ridge Rd, Sarasota, FL 34239",Sarasota,FL,34239,27.29920180772362,-82.52082642543404
LabCorp106,LabCorp,"Labcorp, 8451 Shade Ave Bldg 2 Ste 109, Sarasota, FL 34243",Sarasota,FL,34243,27.39046442110524,-82.52146400640518
LabCorp107,LabCorp,"Labcorp, 333 Tamiami Tri S, Ste 173, Venice, FL 34285",Venice,FL,34285,27.094840375855128,-82.44349139155442
LabCorp108,LabCorp,"Labcorp, 14816 S Tamiami Trl, Suite A-108, North Port, FL 34287",North Port,FL,34287,27.03943880352339,-82.22663726116859
LabCorp109,LabCorp,"Labcorp, 820 N John Young Pkwy, Kissimmee, FL 34741",Kissimmee,FL,34741,28.299714306645736,-81.416891260316
LabCorp110,LabCorp,"Labcorp, 1178 Cypress Glenn Circle, Kissimmee, FL 34741",Kissimmee,FL,34741,28.34611559548991,-81.41590986094697
LabCorp111,LabCorp,"Labcorp, 395 N Main St, Kissimmee, FL 34744",Kissimmee,FL,34744,28.295620295415265,-81.4036344508442
LabCorp112,LabCorp,"Labcorp, 1420 Celebration Blvd, Ste 301, Kissimmee, FL 34747",Kissimmee,FL,34747,28.31226799748953,-81.56284772009604
LabCorp113,LabCorp,"Labcorp, 1068 Cypress Pkwy, Kissimmee, FL 34759",Kissimmee,FL,34759,28.14518555385828,-81.44529260142012
LabCorp114,LabCorp,"Labcorp, 1151 Blackwood Ave, Ste 160, Ocoee, FL 34761",Ocoee,FL,34761,28.55314012638377,-81.53050041869903
LabCorp115,LabCorp,"Labcorp, 4905 E Irlo Bronson Mem Hwy, Saint Cloud, FL 34771",Saint Cloud,FL,34771,28.24674957589325,-81.24315267477903
LabCorp116,LabCorp,"Labcorp, 3340 Canoe Creek Rd, Saint Cloud, FL 34772",Saint Cloud,FL,34772,28.197462876999754,-81.29357091685442
LabCorp117,LabCorp,"Labcorp, 9200 Conroy Windermere Rd, Windermere, FL 34786",Windermere,FL,34786,28.49297390646107,-81.51186060203094
LabCorp118,LabCorp,"Labcorp, 3600 Winter Garden Vineland Rd, Winter Garden, FL 34787",Winter Garden,FL,34787,28.50535909414628,-81.58746103448627
LabCorp119,LabCorp,"Labcorp, 1200 Binz St, Ste 140, Houston, TX 77004",Houston,TX,77004,29.724024267274523,-95.38780024299066
LabCorp120,LabCorp,"Labcorp, 855 Frostwood Dr, Houston, TX 77024",Houston,TX,77024,29.77903208966566,-95.54885859644986
LabCorp121,LabCorp,"Labcorp, 7207 Gessner Rd, Houston, TX 77040",Houston,TX,77040,29.874545623994152,-95.54234544769112
LabCorp122,LabCorp,"Labcorp, 7900 Fannin St, Suite 2400, Houston, TX 77054",Houston,TX,77054,29.691575520667595,-95.40344223981924
LabCorp123,LabCorp,"Labcorp, 7400 Fannin St, Ste 145, Houston, TX 77054",Houston,TX,77054,29.69445080099557,-95.40103305595932
LabCorp124,LabCorp,"Labcorp, 8313 Southwest Fwy, Ste 201, Houston, TX 77074",Houston,TX,77074,29.688283654124263,-95.5278591301207
LabCorp125,LabCorp,"Labcorp, 12121 Westheimer Rd, Ste 203, Houston, TX 77077",Houston,TX,77077,29.735407870549583,-95.59306871975323
LabCorp126,LabCorp,"Labcorp, 5420 Dashwood Dr, Suite 205, Houston, TX 77081",Houston,TX,77081,29.70797589825576,-95.47509578535288
LabCorp127,LabCorp,"Labcorp, 12121 Richmond Ave, Ste 423, Houston, TX 77082",Houston,TX,77082,29.729211052722828,-95.59375541737607
LabCorp128,LabCorp,"Labcorp, 19002 Park Row, Ste 106, Houston, TX 77084",Houston,TX,77084,29.79000733119638,-95.70319097670811
LabCorp129,LabCorp,"Labcorp, 21216 Northwest Fwy, POB I -Suite 200, Cypress, TX 77429",Cypress,TX,77429,29.925826477861246,-95.63268102346817
LabCorp130,LabCorp,"Labcorp, 21212 Northwest Fwy, POB II - Suite 105, Cypress, TX 77429",Cypress,TX,77429,29.924974948948687,-95.6304769187628
LabCorp131,LabCorp,"Labcorp, 21700 Kingsland Blvd, Ste 108, Katy, TX 77450",Katy,TX,77450,29.77569327540669,-95.74587215178924
LabCorp132,LabCorp,"Labcorp, 1601 Main St, Ste 106, Richmond, TX 77469",Richmond,TX,77469,29.579179597620275,-95.77037104079542
LabCorp133,LabCorp,"Labcorp, 1235 Lake Pointe Pkwy, Ste 102, Sugar Land, TX 77478",Sugar Land,TX,77478,29.60616946619266,-95.6209246990962
LabCorp134,LabCorp,"Labcorp, 16545 Southwest Fwy, Ste 225, Sugar Land, TX 77479",Sugar Land,TX,77479,29.59112686947612,-95.62844890104006
LabCorp135,LabCorp,"Labcorp, 1331 W Grand Pkwy N, Ste 160, Katy, TX 77493",Katy,TX,77493,29.79049483538012,-95.77862733995714
LabCorp136,LabCorp,"Labcorp, 11507 S Highway 6, Suite A, Sugar Land, TX 77498",Sugar Land,TX,77498,29.651103205087864,-95.64959910642146
LabCorp137,LabCorp,"Labcorp, 10970 Shadow Creek Pkwy, Ste 260, Pearland, TX 77584",Pearland,TX,77584,29.57717806004236,-95.38880185647793
LabCorp138,LabCorp,"Labcorp, 1400 S Grand Ave, Ste 612, Los Angeles, CA 90015",Los Angeles,CA,90015,34.03687103643406,-118.26523385276889
LabCorp139,LabCorp,"Labcorp, 10880 Wilshire Blvd. Suite 301, Los Angeles, CA 90024",Los Angeles,CA,90024,34.058840027560414,-118.44304138391148
LabCorp140,LabCorp,"Labcorp, 10880 WILSHIRE BLVD. SUITE 301, LOS ANGELES, CA 90024",Los Angeles,CA,90024,34.05881561358016,-118.4430487414772
LabCorp141,LabCorp,"Labcorp, 10309 SANTA MONICA BLVD, SUITE 350, LOS ANGELES, CA 90025",Los Angeles,CA,90025,34.05940102229955,-118.42202850228873
